val_loss,epoch,step
9.20202922821045,0,292
9.20202922821045,1,585
9.20202922821045,2,878
9.20202922821045,3,1171
9.20202922821045,4,1464
9.20202922821045,5,1757
9.20202922821045,6,2050
9.20202922821045,7,2343
9.20202922821045,8,2636
9.20202922821045,9,2929
